headword,pos,supplement,topic_tag,entry,meaning,meaning_en,meaning_ja,ipa,word_id,example_sentence,translated_sentence,sentence_id
,,,,even though,接) ...であるけれども / ...にもかかわらず / たとえ...としても,,接) ...であるけれども / ...にもかかわらず / たとえ...としても,/ˈiːvən ðəʊ/,239604,"Even though it was raining, we still went for a walk.",雨が降っていたけれども、私たちは散歩に行きました。,3007120
,,,,supposed to,《be ~》...なはずである /  《be ~ do》（取り決めにより）...することになっている / （期待に沿うために）...しなければならない / （法則などにより）...するものである / 《過去形で》...するはずだった,,《be ~》...なはずである /  《be ~ do》（取り決めにより）...することになっている / （期待に沿うために）...しなければならない / （法則などにより）...するものである / 《過去形で》...するはずだった,/səˈpoʊzd tuː/,239640,I am supposed to go to the meeting tomorrow.,明日はミーティングに行くことになっている。,3007154
,,,,make up,"を形成する,を作り上げる, を占める / (デタラメを) でっちあげる / 《..を》決心する《 one's mind about ... / to do / that ...》 / 《...の》埋め合わせをする《for ...》 / 《...と》仲直りをする《with ...》",,"を形成する,を作り上げる, を占める / (デタラメを) でっちあげる / 《..を》決心する《 one's mind about ... / to do / that ...》 / 《...の》埋め合わせをする《for ...》 / 《...と》仲直りをする《with ...》",/mek ʌp/,239681,"They had a big argument yesterday, but they made up this morning.",彼らは昨日大喧嘩したけれど、今朝仲直りした。,6535974
,,,,that sort of thing,"《話》...など, ...といったようなもの / その類いのこと",,"《話》...など, ...といったようなもの / その類いのこと",/ðæt sɔrt əv θɪŋ/,240007,I don't like horror movies or anything like that.,私はホラー映画などが好きではありません。,3007505
,,,,something about,"《do ~》...の問題を解決するためにどうにかする, ...を何とかする, ...に対処する / 《there is ~ 》何となくだけれど...と思う, Oは何となくCな気がする《C about O》",,"《do ~》...の問題を解決するためにどうにかする, ...を何とかする, ...に対処する / 《there is ~ 》何となくだけれど...と思う, Oは何となくCな気がする《C about O》",/sʌmθɪŋ əˈbaʊt/,239773,I need to do something about this problem.,この問題を解決するために何かしなければならない。,3007281
,,,,I'm afraid,"せっかくですが..., 残念だけど..., 残念ながら...だと思う《that ...》 / 申し上げにくいのですが...《to say that ...》/ ...を恐れている《of ...》 / ...の安否を心配する《for ...》",,"せっかくですが..., 残念だけど..., 残念ながら...だと思う《that ...》 / 申し上げにくいのですが...《to say that ...》/ ...を恐れている《of ...》 / ...の安否を心配する《for ...》",/aɪm əˈfreɪd/,239859,I'm afraid I won't be able to make it to the party tonight.,せっかくですが、今夜のパーティーには参加できないと思います。,3007365
,,,,move on,"《新しいことを》始める,話し合う《to ...》 / 《 ...に》移動する, 《...に》引っ越す《to ...》 / 先に進む / 〈話題など〉変える, 先に進む /  （辛い経験を乗り越えて）精神的に前に進む",,"《新しいことを》始める,話し合う《to ...》 / 《 ...に》移動する, 《...に》引っ越す《to ...》 / 先に進む / 〈話題など〉変える, 先に進む /  （辛い経験を乗り越えて）精神的に前に進む",/muːv ɒn/,239756,It's time to move on and start something new.,新しいことを始める時が来た。,3007263
,,,,come up with,"...を思いつく, を考えつく / ...に追いつく / ...を提案する / ...を工面する",,"...を思いつく, を考えつく / ...に追いつく / ...を提案する / ...を工面する",/kʌm ʌp wɪθ/,239797,I need to come up with a new idea for the project.,プロジェクトのために新しいアイデアを思いつかなければなりません。,3007307
,,,,but then again,"《付加》《話》さらに言えば…だ,  / でもよく考えてみると,とはいうものの, しかしまた一方",,"《付加》《話》さらに言えば…だ,  / でもよく考えてみると,とはいうものの, しかしまた一方",/bʌt ðɛn əˈɡɛn/,239844,"I was planning to go to the party, [[but then again]], I'm not really [[in the mood]].",パーティーに行く予定というものの、あまり気分じゃない。,3007351
,,,,by the way,"ところで, それはそうと / そう言えば([[come to think of it]]) / ちなみに",,"ところで, それはそうと / そう言えば([[come to think of it]]) / ちなみに",/baɪ ðə weɪ/,239874,"By the way, have you seen the new movie?",ところで、新しい映画を見ましたか？,3007379
,,,,for all,"《くだけて》...があるにしても, ...を考えると / ...にもかかわらず",,"《くだけて》...があるにしても, ...を考えると / ...にもかかわらず",/fɔːr ɔːl/,239930,"[[For all]] his faults, he is still a good person.",欠点はあるが、それでも彼は良い人だ。,3007434
,,,,better off,"《be ~》（人が）うまくいっている, 順調である / 《be ~ ...》...したほうがもっと良い状態になる / 裕福な",,"《be ~》（人が）うまくいっている, 順調である / 《be ~ ...》...したほうがもっと良い状態になる / 裕福な",/ˈbɛtər ɒf/,239979,I am better off without him.,彼がいない方が私はうまくいっている。,3007479
,,,,that much,【形】それだけの / それほど多く / 【名】それだけのこと,,【形】それだけの / それほど多く / 【名】それだけのこと,/ðæt mʌtʃ/,239812,I didn't realize that much time had passed.,私はそれだけの時間が経過したことに気づかなかった。,3007319
,,,,with regard to,"《かたく》 （人･物･事）に関しては, ...については",,"《かたく》 （人･物･事）に関しては, ...については",/wɪð rɪˈɡɑːrd tuː/,239725,"[[With regard to]] the new project, we need to discuss the budget.",新しいプロジェクトに関しては、予算について話し合う必要があります。,3007236
,,,,at best,最善の状態で(は)、いくらよく見ても、せいぜい,,最善の状態で(は)、いくらよく見ても、せいぜい,/æt bɛst/,240005,"At best he'll get 1,000 votes.",彼の取れるのはよくて千票でしょう。,42606
,,,,next to,"（人・物など）の隣に, ...に接して / ...の次に /  [否定語の前に用いて]ほとんど...だ / ...に比べると",,"（人・物など）の隣に, ...に接して / ...の次に /  [否定語の前に用いて]ほとんど...だ / ...に比べると",/nɛkst tuː/,239706,The bookstore is next to the coffee shop.,本屋はカフェの隣にあります。,3007215
,,,,prior to,"《かたく》 〈事〉に先だって, ...の前に",,"《かたく》 〈事〉に先だって, ...の前に",/pɹaɪəɹ tu/,239692,"Prior to the meeting, please review the agenda.",会議の前に、議題を確認してください。,3007203
,,,,in order to,"《Aが》...するために, ...する目的で《for A to do》",,"《Aが》...するために, ...する目的で《for A to do》",/ɪn ˈɔː.dər tuː/,239557,"In order to succeed, you must work hard.",成功するためには、一生懸命働かなければなりません。,3007076
,,,,turn down,"【名/U/C】拒絶 / 拒絶された人 【形】（えりなどの）折り返しの【動/他】を拒む,却下する / （つまみを回して）..を小さくする",,"【名/U/C】拒絶 / 拒絶された人 【形】（えりなどの）折り返しの【動/他】を拒む,却下する / （つまみを回して）..を小さくする",/tɜrn daʊn/,239986,I had to turn down the job offer because it didn't align with my career goals.,私は仕事のオファーを断らなければならなかった、なぜならそれは私のキャリアの目標と一致しなかったからです。,3007489
,,,,on the part of,...の側の / （人）の方の,,...の側の / （人）の方の,/ɒn ðə pɑːrt əv/,239787,"On the part of the company, they have decided to increase salaries.",会社の側では、給料を増やすことを決定しました。,3007294
,,,,so far as,【接】…の限りでは / …と同じ距離まで / 《~ ... goes》...に関する限りでは /【前】（ある場所･程度）まで,,【接】…の限りでは / …と同じ距離まで / 《~ ... goes》...に関する限りでは /【前】（ある場所･程度）まで,/səʊ fɑːr æz/,239920,"So far as I know, he is the best candidate for the job.",私の知る限りでは、彼はその仕事の最適な候補者です。,3007425
,,,,go off,"《...に》行く,出発する, 立ち去る《to ...》 / 急に大きな音が鳴る, 急に発光する / 爆発する, （銃が）発射される / 急に始める",,"《...に》行く,出発する, 立ち去る《to ...》 / 急に大きな音が鳴る, 急に発光する / 爆発する, （銃が）発射される / 急に始める",/ɡoʊ ɒf/,239736,I need to go off to the grocery store.,私は食料品店に行かなければなりません。,3007248
,,,,point of view,"見地,観点([[viewpoint]]) / 考え方,態度",,"見地,観点([[viewpoint]]) / 考え方,態度",/pɔɪnt əv vjuː/,32417,"From my point of view, the movie was amazing.",私の見地からすると、その映画は素晴らしかった。,1644887
,,,,might as well,"《~ do》（積極的に望みはしないが）...してもいい, ...してもかまわない / (状況から考えて) ...した方がいい / 《控えめな提案》よければ…したらどう / 《~ A as B》Bするくらいなら、Aしたほうがマシだ",,"《~ do》（積極的に望みはしないが）...してもいい, ...してもかまわない / (状況から考えて) ...した方がいい / 《控えめな提案》よければ…したらどう / 《~ A as B》Bするくらいなら、Aしたほうがマシだ",/maɪt æz wɛl/,239895,I might as well leave today.,今日出発したほうがいいかもしれません。,85519
,,,,no doubt,"確かに,きっと,恐らく",,"確かに,きっと,恐らく",/nəʊ daʊt/,28686,There is no doubt that she is the best candidate for the job.,彼女がその仕事に最適な候補者であることには疑いがありません。,3001953
,,,,under way,"【形】《be ~》 （事が）進行中で, 始まって / 航行中で,（電車が）進行中で.",,"【形】《be ~》 （事が）進行中で, 始まって / 航行中で,（電車が）進行中で.",/ˈʌndər weɪ/,239987,The construction project is under way.,建設プロジェクトは進行中です。,3007487
,,,,by far,"《最上級・比較級の形容詞・副詞を強調して》はるかに, 断然, 圧倒的に",,"《最上級・比較級の形容詞・副詞を強調して》はるかに, 断然, 圧倒的に",/baɪ fɑːr/,239990,This is by far the best movie I've ever seen.,これは今まで見た中で一番良い映画です。,3007494
,,,,at all,"《否定文で》少しも...でない,全く...でない / 《疑問文で》いったい,そもそも / 《条件文で》少しも / 《肯定文で》本当に,ともかく",,"《否定文で》少しも...でない,全く...でない / 《疑問文で》いったい,そもそも / 《条件文で》少しも / 《肯定文で》本当に,ともかく",/ət ɔːl/,239547,I don't like spicy food at all.,私は辛い食べ物が少しも好きではありません。,3007064
,,,,a go,《have ~》やってみる,,《have ~》やってみる,/ə ɡoʊ/,239945,I want to have a go at playing the piano.,ピアノをやってみたいです。,3007455
,,,,at present,"《かたく》現在, 目下, 今のところは",,"《かたく》現在, 目下, 今のところは",/æt ˈprɛzənt/,239709,"At present, I am studying for my exams.",現在、私は試験勉強をしています。,3007220
,,,,no one,『だれも』…『ない』,,『だれも』…『ない』,/noʊ wʌn/,28690,No one knows the answer.,だれもその答えを知りません。,3001948
,,,,in so far as,…する限りにおいて,,…する限りにおいて,/ɪn səʊ fɑːr æz/,21320,"In so far as I understand, he will be attending the meeting.",私の理解する限りにおいて、彼は会議に出席する予定です。,3000061
,,,,way out,(窮状などを救う)解決法 / 《英》(劇場などの)出口([[exit]]),,(窮状などを救う)解決法 / 《英》(劇場などの)出口([[exit]]),/weɪ aʊt/,46901,I couldn't find a way out of the maze.,私は迷路からの脱出方法を見つけることができませんでした。,3006610
,,,,lead to,"（道などが）...に通じる / を引き起こす,の原因となる",,"（道などが）...に通じる / を引き起こす,の原因となる",/li:d tu:/,239554,This road will lead to the beach.,この道はビーチに通じます。,3007071
,,,,is to,《書》《予定》...することになっている / 《意志》...するつもりである / 《運命》...する運命にある /《義務》...しなければならない / 《可能》...できる,,《書》《予定》...することになっている / 《意志》...するつもりである / 《運命》...する運命にある /《義務》...しなければならない / 《可能》...できる,/ɪz tuː/,239545,I am to meet him tomorrow.,私は明日彼に会うことになっている。,3007065
,,,,go away,"向こうへ行く, あっちへ行く / 《…の間 / …へ / …で》当地を離れる《for / to / on ...》/ （問題などが）なくなる",,"向こうへ行く, あっちへ行く / 《…の間 / …へ / …で》当地を離れる《for / to / on ...》/ （問題などが）なくなる",/ɡoʊ əˈweɪ/,239764,I want you to go away.,向こうへ行ってほしい。,3007268
,,,,going to,...するつもりだ / これから...する / ...になるだろう,,...するつもりだ / これから...する / ...になるだろう,/ˈɡoʊ.ɪŋ tuː/,239530,I am going to the store.,私は店に行くつもりです。,3007048
,,,,right now,"ちょうど今, ただいま / すぐに, 直ちに",,"ちょうど今, ただいま / すぐに, 直ちに",/raɪt naʊ/,239862,I am busy right now.,ちょうど今、忙しいです。,3007367
,,,,provide for,"（予想される困難）に備える / ...を提供する / （法律･規則が）...を可能にする,を認める / ...を養う",,"（予想される困難）に備える / ...を提供する / （法律･規則が）...を可能にする,を認める / ...を養う",/prəˈvaɪd fɔr/,239891,It is important to provide for unexpected difficulties.,予想されない困難に備えることが重要です。,3007395
,,,,on the market,"売りに出て, 売りに出されて",,"売りに出て, 売りに出されて",/ɒn ðə ˈmɑːkɪt/,239989,The new product is now on the market.,新製品が売りに出ています。,3007491
,,,,with a view to,"...を視野に入れて, ...を目的として / ...を期待して / 《~ doing》...する目的で",,"...を視野に入れて, ...を目的として / ...を期待して / 《~ doing》...する目的で",/wɪð ə vjuː tə/,240011,"With a view to improving customer satisfaction, the company implemented a new feedback system.",顧客満足度の向上を視野に入れて、会社は新しいフィードバックシステムを導入しました。,3007506
,,,,no wonder,"驚くに値しない, ...も不思議ではない, ...も無理はない, なるほど...なわけだ,どうりで...なわけだ,  ...も当然である",,"驚くに値しない, ...も不思議ではない, ...も無理はない, なるほど...なわけだ,どうりで...なわけだ,  ...も当然である",/nəʊ ˈwʌndər/,240014,"No wonder he failed the exam, he didn't study at all.",彼が試験に落ちたのも驚くに値しない、全く勉強しなかったからだ。,3007511
,,,,you see,ほら,,ほら,/juː siː/,239584,"You see, I told you so!",ほら、そう言ったでしょ！,3007100
,,,,go ahead,遠慮なく進める,,遠慮なく進める,/ɡoʊ əˈhɛd/,239776,You can go ahead and start without me.,私抜きでも遠慮なく進めてください。,3007284
,,,,and all that,"《くだけた話》...やらいろいろ, その他もろもろ",,"《くだけた話》...やらいろいろ, その他もろもろ",/ænd ɔːl ðæt/,239975,"Refugees will suffer lack of food, water, medicine and all that.",避難民は食料や水、薬などその他いろいろ不足を被るものだ。,11630
,,,,other than,"...に加えて, ...のほかに /《否定文で》....以外（…ない）, ...を除いて（…ない） /",,"...に加えて, ...のほかに /《否定文で》....以外（…ない）, ...を除いて（…ない） /",/ˈʌðər ðæn/,239646,"She enjoys playing basketball, other than soccer.",彼女はサッカー以外にバスケットボールを楽しんでいます。,3007159
,,,,have got to,《話》...しなければならない,,《話》...しなければならない,/hæv ɡɒt tuː/,239559,I have got to finish this report by tomorrow.,私は明日までにこのレポートを終わらせなければならない。,3007077
,,,,as well,"…もまた,...も同様に / その上, おまけに / 《be ~ to》好都合である / 《might  ~ do》...してもかまわない, よければ...したらどう, まるで...するようなものだ",,"…もまた,...も同様に / その上, おまけに / 《be ~ to》好都合である / 《might  ~ do》...してもかまわない, よければ...したらどう, まるで...するようなものだ",/əz wɛl/,239562,I enjoy playing basketball as well.,私はバスケットボールをするのも楽しんでいます。,3007079
,,,,to death,"死に至るまで / （行為の結果）死に至って / 《くだけて》死ぬほど, 非常に",,"死に至るまで / （行為の結果）死に至って / 《くだけて》死ぬほど, 非常に",/tuː dɛθ/,239816,He loved her to death.,彼は彼女を死ぬほど愛していた。,3007323
,,,,as a whole,"全体として, まとめて, 総じて",,"全体として, まとめて, 総じて",/æz ə həʊl/,239666,"As a whole, the project was a success.",全体として、プロジェクトは成功だった。,3007177
,,,,on the grounds,"...という理由で《that ...》 /  ...という理由で, ...を根拠として《of ...》/ ...の敷地に《of ...》",,"...という理由で《that ...》 /  ...という理由で, ...を根拠として《of ...》/ ...の敷地に《of ...》",/ɒn ðə graʊndz/,239817,He was denied entry on the grounds that he didn't have a valid visa.,彼は有効なビザを持っていないという理由で入国を拒否されました。,3007329
,,,,a few,"いくつか,少数の",,"いくつか,少数の",/ə fjʊ/,239532,I have a few books on my shelf.,私の本棚にはいくつかの本があります。,3007052
,,,,at least,少なくとも,,少なくとも,/æt li:st/,239533,I need at least three hours of sleep to function properly.,正常に機能するためには、少なくとも3時間の睡眠が必要です。,3007053
,,,,in the end,"結局, 最後には, ついに / 最後に",,"結局, 最後には, ついに / 最後に",/ɪn ðə ɛnd/,239697,"In the end, everything will be okay.",結局、すべてうまくいく。,3007208
,,,,take place,"（事が）起こる, 発生する /（行事などが）行われる, 開催される",,"（事が）起こる, 発生する /（行事などが）行われる, 開催される",/teɪk pleɪs/,239565,The event will take place next week.,イベントは来週に起こります。,3007082
,,,,a couple of,"2, 3の, 少数の, いくつかの / 一対の,２つの",,"2, 3の, 少数の, いくつかの / 一対の,２つの",/ə ˈkʌpəl ʌv/,239586,I saw a couple of birds in the park.,公園で鳥のカップルを見ました。,3007101
,,,,look like,"...のようにみえる, ...に似ている / ...になりそうだ",,"...のようにみえる, ...に似ている / ...になりそうだ",/lʊk laɪk/,239589,You look like a movie star.,あなたは映画スターのように見えます。,3007104
,,,,take over,を引き継ぐ,,を引き継ぐ,/teɪk ˈoʊvər/,239608,She will take over the family business when her father retires.,彼女は父親が引退した時に家族の事業を引き継ぐ予定です。,3007121
,,,,as soon as,"...するとすぐに, ...するやいなや / できるだけ早く《~ possible / one can》",,"...するとすぐに, ...するやいなや / できるだけ早く《~ possible / one can》",/æz suːn æz/,239610,I will let you know as soon as I receive the package.,荷物を受け取ったらすぐにお知らせします。,3007124
,,,,along with,"...に加えて, ...と一緒に, ...と連れだって",,"...に加えて, ...と一緒に, ...と連れだって",/əˈlɔŋ wɪθ/,239628,She brought her sister along with her to the party.,彼女はパーティーに妹を連れてきました。,3007143
,,,,these days,"（昔と比較して）このごろは, 近ごろは, 最近は",,"（昔と比較して）このごろは, 近ごろは, 最近は",/ðiz deɪz/,239744,"These days, people rely more on technology than ever before.",このごろは、人々は以前よりも技術に頼ることが多い。,3007253
,,,,once more,"もう1度, また / ふたたび, 以前のように / 《主に文頭で》またしても, 繰り返して言うが",,"もう1度, また / ふたたび, 以前のように / 《主に文頭で》またしても, 繰り返して言うが",/wʌns mɔːr/,239765,Let's try it once more.,もう1度やってみましょう。,3007272
,,,,afford to,"《can ~ do》…できる余裕がある / …できる状態にある《do》, （事）が起こってもかまわない",,"《can ~ do》…できる余裕がある / …できる状態にある《do》, （事）が起こってもかまわない",/ə'fɔːrd tuː/,239784,I can afford to buy a new car.,新しい車を買う余裕があります。,3007292
,,,,in itself,"それ自体で, 元来, それだけで",,"それ自体で, 元来, それだけで",/ɪn ɪt'sɛlf/,239804,The artwork is beautiful in itself.,その作品はそれ自体で美しいです。,3007310
,,,,a long way,"《go ~》遠くまで行く / 長もちする / 大いに役立つ, とても効果がある / 成功する / 《 ~ off》今からかなり先で",,"《go ~》遠くまで行く / 長もちする / 大いに役立つ, とても効果がある / 成功する / 《 ~ off》今からかなり先で",/ə lɔŋ weɪ/,239848,A little language goes a long way.,ちょっと言葉を知っていればずいぶん役にたつよ。,114654
,,,,reflected in,《be ~ 》...に反映される,,《be ~ 》...に反映される,/rɪˈflɛktɪd ɪn/,239865,Her hard work and dedication are reflected in her success.,彼女の努力と献身は彼女の成功に反映されています。,3007371
,,,,no such,そのような...はない /《There is ~ thing as ...》…なんて存在しない /《~ luck》残念ながらそうはいかない,,そのような...はない /《There is ~ thing as ...》…なんて存在しない /《~ luck》残念ながらそうはいかない,/nəʊ sʌtʃ/,239866,There is no such thing as a free lunch.,無料の昼食などありません。,3007372
,,,,bear in mind,"を心に留める, を肝に銘じる, を忘れない, を念頭に置く([[take something to heart]]) / ...であると考えておく《that ...》",,"を心に留める, を肝に銘じる, を忘れない, を念頭に置く([[take something to heart]]) / ...であると考えておく《that ...》",/bɛər ɪn maɪnd/,239886,"When making decisions, it is important to bear in mind the consequences.",意思決定をする際には、結果を心に留めることが重要です。,3007392
,,,,worth of,"...の価値がある, ...に値する / 《（価格）~ ...》...相当の..., ...分の...",,"...の価値がある, ...に値する / 《（価格）~ ...》...相当の..., ...分の...",/wɜːθ əv/,239906,This painting is worth of a million dollars.,この絵は100万ドルの価値がある。,3007408
,,,,take account of,"...を考慮に入れる, ...に配慮する / ...に気付く, ...に注意する",,"...を考慮に入れる, ...に配慮する / ...に気付く, ...に注意する",/teɪk əˈkaʊnt ʌv/,239925,You [[had better]] [[take account of]] his age.,彼の年齢を考慮に入れた方がよい。,41944
,,,,as if,（まるで）...であるかのように,,（まるで）...であるかのように,/æz ɪf/,239548,She danced as if she were floating on air.,彼女はまるで空中を浮遊しているかのように踊った。,3007069
,,,,not only,...だけでなく /  ...ばかりか / 《~ A [[but]] [[also]] Bで》 Aだけでなく、Bも,,...だけでなく /  ...ばかりか / 《~ A [[but]] [[also]] Bで》 Aだけでなく、Bも,/nɑt ˈoʊnli/,239551,"His music collection includes [[not only rock and jazz, but also|not only]] [[a lot of]] pop.",彼の音楽コレクションには、ロックやジャズだけでなく、多くのポップスも含まれています。,1623351
,,,,those who,"《書》...な人たち, ...な人々",,"《書》...な人たち, ...な人々",/ðoʊz huː/,239552,Those who love reading are always seeking new books to explore.,読書が好きな人たちは常に新しい本を探し求めています。,3007068
,,,,deal with,（問題など）を処理する / （話題）を取り扱う / と取引する / （困難など）に対処する,,（問題など）を処理する / （話題）を取り扱う / と取引する / （困難など）に対処する,/diːl wɪð/,239553,I have to deal with a difficult customer today.,今日は気難しい客を相手にしなければならない。,3007073
,,,,contrary to,...に反して,,...に反して,/kənˈtrɛri tu/,239905,"Contrary to popular belief, cats are not always aloof.",一般に信じられていることに反して、猫は常によそよそしいわけではありません。,3007411
,,,,sort of,"《話》《ぼかし表現》多少の,いくぶんの / ...みたいな, ...のようなもの, 一種の... / 《単独で》まあね, そんなとこだね",,"《話》《ぼかし表現》多少の,いくぶんの / ...みたいな, ...のようなもの, 一種の... / 《単独で》まあね, そんなとこだね",/sɔrt ʌv/,239555,I'm sort of tired today.,今日は多少疲れている。,3007072
,,,,the following,"《書》【形】次の, 後に続く / 次に述べる, 下記の",,"《書》【形】次の, 後に続く / 次に述べる, 下記の",/ðə ˈfɑloʊɪŋ/,239556,The following items are required for the project.,プロジェクトには以下のアイテムが必要です。,3007075
,,,,have got,《話》を持っている,,《話》を持っている,/hæv ɡɒt/,239558,I have got a new car.,新しい車を手に入れた。,3007074
,,,,set up,を設置する / を用意する,,を設置する / を用意する,/sɛt ʌp/,239560,I need to set up the new computer.,新しいコンピュータを設置する必要があります。,3007078
,,,,fail to,"...しない. ...しそこなう, ...できない《~ do》",,"...しない. ...しそこなう, ...できない《~ do》",/fel tu/,239568,I fail to understand his reasoning.,私は彼の理由が理解できない。,3007086
,,,,each other,"互いに,互いを",,"互いに,互いを",/iːtʃ ˈʌðər/,239569,We care about each other.,お互いに気をかけあっている。,1624179
,,,,in terms of,"...の観点から / （単位）に換算して / 《話》...することを, ...したいということを",,"...の観点から / （単位）に換算して / 《話》...することを, ...したいということを",/ɪn tɜːrmz əv/,239570,"In terms of customer satisfaction, our company is ranked number one.",顧客満足の観点から、当社は第一位にランクされています。,3007089
,,,,for instance,たとえば,,たとえば,/fɔːr ˈɪnstəns/,239582,"For instance, I enjoy outdoor activities such as hiking and camping.",たとえば、私はハイキングやキャンプなどのアウトドア活動が好きです。,3007098
,,,,too much,"【名】過剰な量 / ひど過ぎること【形】過剰の,過度の,やり過ぎの / どぎつい【副】過剰に,過度に",,"【名】過剰な量 / ひど過ぎること【形】過剰の,過度の,やり過ぎの / どぎつい【副】過剰に,過度に",/tuː mʌtʃ/,239583,There is too much food on the table.,テーブルの上には食べ物が過剰です。,3007099
,,,,come back,"《...に》帰ってくる,戻る《to ...》",,"《...に》帰ってくる,戻る《to ...》",/kʌm bæk/,239588,I will come back home tomorrow.,明日、私は家に帰ってくる。,3007102
