headword,pos,supplement,topic_tag,entry,meaning,meaning_en,meaning_ja,ipa,word_id,example_sentence,translated_sentence,sentence_id
,,,,carry on,"（途中で諦めずに）を続ける / を行う,に参加する / ",,"（途中で諦めずに）を続ける / を行う,に参加する / ",/'kæri ɒn/,239659,I will carry on with my studies despite the challenges.,私は困難にもかかわらず、勉強を続けます。,3007171
,,,,go back,《...に》戻る《to ...》、遡る,,《...に》戻る《to ...》、遡る,/ɡoʊ bæk/,239660,I need to go back to my hometown.,私は故郷に戻る必要があります。,3007175
,,,,end up,《...に》最終的になる《as ...》 / 《...に》最終的に入る《in ...》 / 最終的に《...》することになる《(by) doing》,,《...に》最終的になる《as ...》 / 《...に》最終的に入る《in ...》 / 最終的に《...》することになる《(by) doing》,/ɛnd ʌp/,239683,"I didn't plan on going to the party, but I ended up going anyway.",パーティーに行く予定はなかったけど、最終的には行くことになった。,3007198
,,,,get back,"戻る, 《...に》戻る《to ...》",,"戻る, 《...に》戻る《to ...》",/ɡɛt bæk/,239686,I need to get back to work.,仕事に戻らなければならない。,3007194
,,,,turn up,"を見つける,を発見する,に気づく / （音や熱など）を大きくする,を上げる / 現れる, 姿を現す",,"を見つける,を発見する,に気づく / （音や熱など）を大きくする,を上げる / 現れる, 姿を現す",/tɜrn ʌp/,239707,I couldn't turn up my keys anywhere.,どこにも鍵が見つからなかった。,3007217
,,,,follow up,"《…を》 引き続き調べる, 追求する, 究明する 《on》",,"《…を》 引き続き調べる, 追求する, 究明する 《on》",/fɒloʊ ʌp/,239767,I will follow up with the customer to address their concerns.,顧客の懸念事項に対処するために引き続きフォローアップします。,3007279
,,,,hang on,"じっと待つ,《くだけた話》ちょっと待って / 《...に》しがみつく,くっついている《to ...》,手放さない",,"じっと待つ,《くだけた話》ちょっと待って / 《...に》しがみつく,くっついている《to ...》,手放さない",/hæŋ ɑn/,239771,"Hang on, I'll be right back.",ちょっと待って、すぐ戻ります。,3007280
,,,,take off,"を脱ぐ / 急に場所を離れる / 地面を離れて上昇する,離陸する",,"を脱ぐ / 急に場所を離れる / 地面を離れて上昇する,離陸する",/teɪk ɒf/,239789,I need to [[take off]] my shoes before entering the house.,家に入る前に靴を脱がなければなりません。,3007297
,,,,bring up,を持ち出す / を育てる,,を持ち出す / を育てる,/bɹɪŋ ʌp/,239788,I want to bring up an important topic during the meeting.,会議中に重要な話題を取り上げたいと思います。,3007296
,,,,hand over,"《...に》を手渡す《to ...》 / 《...に》を引き渡す,を譲り渡す《to ...》",,"《...に》を手渡す《to ...》 / 《...に》を引き渡す,を譲り渡す《to ...》",/hænd ˈoʊvər/,239809,Please hand over the documents to the receptionist.,受付の人に書類を手渡してください。,3007316
,,,,keep up,"《...に》遅れずについていく, 《...と》同じ割合で増える《with ...》/ を続ける,を維持する",,"《...に》遅れずについていく, 《...と》同じ割合で増える《with ...》/ を続ける,を維持する",/kiːp ʌp/,239823,I need to keep up with the latest technology trends.,最新の技術トレンドに遅れずについていかなければならない。,3007333
,,,,set off,"《...に》出発する《for ...》,《...し》始める《to do》/ を爆発させる,（警報など）を鳴らす/ のきっかけとなる,（意図せずに）を引き起こす",,"《...に》出発する《for ...》,《...し》始める《to do》/ を爆発させる,（警報など）を鳴らす/ のきっかけとなる,（意図せずに）を引き起こす",/sɛt ɒf/,239830,I will set off for the airport tomorrow morning.,明日の朝、私は空港に出発します。,3007338
,,,,run out,"《時間･金･忍耐などが》尽きる,無くなる,使い果たす《of ...》/ 走って外に出る,走り出る",,"《時間･金･忍耐などが》尽きる,無くなる,使い果たす《of ...》/ 走って外に出る,走り出る",/rʌn aʊt/,239876,I need to go to the store because I've run out of milk.,牛乳がなくなったので、お店に行かなければなりません。,3007383
,,,,fill in,"《...の》代理になる《for ...》 / 《…について》（人）に詳細を伝える《on ...》 / を埋める,をふさぐ,を塗りつぶす,を書き入れる",,"《...の》代理になる《for ...》 / 《…について》（人）に詳細を伝える《on ...》 / を埋める,をふさぐ,を塗りつぶす,を書き入れる",/fɪl ɪn/,239929,I will fill in for you while you're on vacation.,あなたが休暇中は私が代理を務めます。,3007431
,,,,look back,"【句動】考え直す, 振り返る / 見直す",,"【句動】考え直す, 振り返る / 見直す",/lʊk bæk/,240040,It's always good to look back and reflect on your past experiences.,過去の経験を振り返り、考え直すことは常に良いことです。,3007535
,,,,wake up,【句動】目を覚ます,,【句動】目を覚ます,/weɪk ʌp/,240041,I wake up early every morning.,私は毎朝早く目を覚ます。,3007536
,,,,pull out,"【句動】を取り出す, を引き抜く",,"【句動】を取り出す, を引き抜く",/pʊl aʊt/,240042,He reached into his pocket to pull out his wallet.,彼はポケットに手を入れて財布を取り出した。,3007539
,,,,turn around,"【句動】振り向く,振り返る / を好転させる",,"【句動】振り向く,振り返る / を好転させる",/tɜrn əˈraʊnd/,240043,I turned around and saw a beautiful sunset.,振り向いて美しい夕日を見た。,3007538
,,,,look down,"【句動】下を向く,見下ろす / 《...を》見下す《on ...》",,"【句動】下を向く,見下ろす / 《...を》見下す《on ...》",/lʊk daʊn/,240044,Don't look down on others just because they are different.,違うからといって他人を見下すな。,3007537
,,,,bring back,【句動】が戻る / 《...から》持ち帰る《from ....》,,【句動】が戻る / 《...から》持ち帰る《from ....》,/brɪŋ bæk/,240045,I will bring back the book I borrowed from you.,あなたから借りた本を返します。,3007551
,,,,look out,"【句動】（外など）を眺める / 《...に》目を光らせる,心を配る《for ...》",,"【句動】（外など）を眺める / 《...に》目を光らせる,心を配る《for ...》",/lʊk aʊt/,240046,Look out the window and enjoy the beautiful view.,窓の外を眺めて美しい景色を楽しんでください。,3007553
,,,,hold on,"【句動】《...に》しがみついている,つかまっている,《...を》手放さないでいる《to ...》 / 持ちこたえる,続ける / 《くだけた話》待つ",,"【句動】《...に》しがみついている,つかまっている,《...を》手放さないでいる《to ...》 / 持ちこたえる,続ける / 《くだけた話》待つ",/həʊld ɒn/,240067,Hold on tight to your dreams.,夢にしっかりとしがみついてください。,3007570
,,,,pull back,"【句動】引っ込める,ひきもどす / 後退する,撤退する",,"【句動】引っ込める,ひきもどす / 後退する,撤退する",/pʊl bæk/,240071,He decided to pull back from the project.,彼はそのプロジェクトから撤退することを決めた。,1641737
,,,,build up,"【句動】強大になる,増える,渋滞する； を強大にする, を徐々に増大する",,"【句動】強大になる,増える,渋滞する； を強大にする, を徐々に増大する",/bɪld ʌp/,240072,He worked hard to build up his strength.,彼は体力を増強するために一生懸命努力した。,3007573
,,,,come over,"【句動】やって来る,近づいてくる,近づいていく、訪ねてくる",,"【句動】やって来る,近づいてくる,近づいていく、訪ねてくる",/kʌm ˈoʊvər/,240077,Can you come over to my house tomorrow?,明日、私の家に来てくれる？,3007578
,,,,put on,"【句動】を身につける,を着る, をつける / を上演する, を催す",,"【句動】を身につける,を着る, をつける / を上演する, を催す",/pʊt ɒn/,240075,I put on my coat before going outside.,外に出る前にコートを身につけます。,3007576
,,,,put back,"【句動】を元の場所に戻す,引き返す",,"【句動】を元の場所に戻す,引き返す",/pʊt bæk/,240082,Please put back the book on the shelf.,本を棚に戻してください。,3007582
,,,,send out,"【句動】《...に》を発送する,を送り出す《to ...》 / 《...に》を派遣する《to ...》",,"【句動】《...に》を発送する,を送り出す《to ...》 / 《...に》を派遣する《to ...》",/sɛnd aʊt/,240083,I will send out the package tomorrow.,明日、私は荷物を発送します。,3007584
,,,,sit back,"【句動】（椅子に）深く座る,腰掛ける / 《くだけて》のんびりする, 何もしないでいる",,"【句動】（椅子に）深く座る,腰掛ける / 《くだけて》のんびりする, 何もしないでいる",/sɪt bæk/,240101,Sit back and enjoy the show.,ショーを楽しむのに腰を下ろして観てください。,1626901
,,,,rule out,"【句動】を除外する,を排する,を無視する, …はないと断言する",,"【句動】を除外する,を排する,を無視する, …はないと断言する",/rul aʊt/,240102,I will [[rule out]] that option.,その選択肢を除外します。,3007609
,,,,move up,"【句動】昇進する,程度・地位が上がる / 上方へ移動する",,"【句動】昇進する,程度・地位が上がる / 上方へ移動する",/muːv ʌp/,240103,He is hoping to move up in the company.,彼は会社で昇進することを望んでいます。,3007610
,,,,pick out,"【句動】（いくつかの中から）を選抜する,を引き抜く,を選び出す / （いくつかの中から）を見つけ出す,を見つける",,"【句動】（いくつかの中から）を選抜する,を引き抜く,を選び出す / （いくつかの中から）を見つけ出す,を見つける",/pɪk aʊt/,240104,I will pick out the best candidate for the job.,私はその仕事のために最適な候補者を選抜します。,3007619
,,,,give back,"【句動】《...に》を返す,を還元する,を取り戻させる,のお返しをする《to ...》",,"【句動】《...に》を返す,を還元する,を取り戻させる,のお返しをする《to ...》",/ɡɪv bæk/,240106,Please give back my book.,私の本を返してください。,3007617
,,,,sum up,"【句動】をまとめる,を要約する,を総括する",,"【句動】をまとめる,を要約する,を総括する",/sʌm ʌp/,240107,Let me sum up the main points of the presentation.,プレゼンの要点をまとめさせてください。,3007618
,,,,put off,"【句動】を後回しにする,を延期する,を先延ばしにする / の気を悪くさせる, を不快にする,をうんざりさせる",,"【句動】を後回しにする,を延期する,を先延ばしにする / の気を悪くさせる, を不快にする,をうんざりさせる",/pʊt ɒf/,240120,I always put off doing my homework until the last minute.,私はいつも宿題を最後の瞬間まで後回しにします。,3007631
,,,,get out,"出る,  ...から出す,から逃げ出す《of ...》",,"出る,  ...から出す,から逃げ出す《of ...》",/ɡɛt aʊt/,239630,I need to get out of the house and get some fresh air.,家を出て新鮮な空気を吸いたい。,3007141
,,,,turn out,"...だとわかる, ...だと判明する《C / to be》",,"...だとわかる, ...だと判明する《C / to be》",/tɜːrn aʊt/,239648,It turns out that he is a talented musician.,彼は才能あるミュージシャンだとわかる。,3007162
,,,,break up,"【名/U/C】 《...の》解消, 絶縁, 崩壊, 分裂, 解体 《of ...》/ 破綻する,別れる；（結婚・関係など）を終わらせる / ばらばらになる,分解される； をばらばらに分解する",,"【名/U/C】 《...の》解消, 絶縁, 崩壊, 分裂, 解体 《of ...》/ 破綻する,別れる；（結婚・関係など）を終わらせる / ばらばらになる,分解される； をばらばらに分解する",/bɹeɪk ʌp/,239843,They decided to break up after five years of dating.,彼らは5年間の交際の後、別れることを決めました。,3007349
,,,,put up,"置く、泊める、提供する、（見えるように）を取り付ける, （壁などに）を貼る / ...を大目に見る《with ...》/ を建てる、を置く",,"置く、泊める、提供する、（見えるように）を取り付ける, （壁などに）を貼る / ...を大目に見る《with ...》/ を建てる、を置く",/pʊt ʌp/,239846,I need to put up some shelves in my room.,私は部屋に棚を取り付ける必要があります。,3007355
,,,,make out,"を見分ける,を聞き分ける / を理解する  /  進展する / イチャイチャする",,"を見分ける,を聞き分ける / を理解する  /  進展する / イチャイチャする",/meɪk aʊt/,240008,I couldn’t [[make out]] what my grandpa was saying.,おじいちゃんが何を言っているのか聞き取れなかった。,1017468
,,,,go down,"【句動】降りる / 減少する,下落する / （南や下のほうに）行く / （後々まで）記憶される / （考えなどが）受け入れられる",,"【句動】降りる / 減少する,下落する / （南や下のほうに）行く / （後々まで）記憶される / （考えなどが）受け入れられる",/ɡoʊ daʊn/,240035,I go down the stairs.,私は階段を降ります。,3007530
,,,,go up,【句動】上昇する / 上がる,,【句動】上昇する / 上がる,/ɡoʊ ʌp/,240039,The elevator will go up to the top floor.,エレベーターは最上階まで上昇します。,3007534
,,,,look around,"【句動】見回す,周りを調べる",,"【句動】見回す,周りを調べる",/lʊk əˈraʊnd/,240051,I look around the room to find my keys.,私は鍵を探すために部屋を見回します。,3007552
,,,,shut down,【句動】を停止する,,【句動】を停止する,/ʃʌt daʊn/,240059,Please shut down the computer before leaving.,出かける前にコンピュータをシャットダウンしてください。,3007567
,,,,turn over,"【句動】《...に》を明け渡す,を引き渡す《to ...》 / をひっくり返す",,"【句動】《...に》を明け渡す,を引き渡す《to ...》 / をひっくり返す",/tɜːrn ˈoʊvər/,240060,He decided to turn over the company to his son.,彼は会社を息子に明け渡すことを決めた。,3007563
,,,,bring out,"【句動】（才能・特徴など）を引き出す,をはっきりとさせる / （新製品など）を世に出す / を取り出す,を連れ出す",,"【句動】（才能・特徴など）を引き出す,をはっきりとさせる / （新製品など）を世に出す / を取り出す,を連れ出す",/brɪŋ aʊt/,240070,Her speech brought out the best in everyone.,彼女のスピーチはみんなの最高の部分を引き出した。,3007574
,,,,throw out,"【句動】却下する,否決する / を捨てる,を処分する / 《...から》追い出す,放り出す《of ...》",,"【句動】却下する,否決する / を捨てる,を処分する / 《...から》追い出す,放り出す《of ...》",/θroʊ aʊt/,240073,I had to throw out all the old clothes that didn't fit anymore.,もう合わなくなった古い服をすべて捨てなければならなかった。,3007577
,,,,start out,"【句動】《...することに》乗り出す,取り掛かる《to do》",,"【句動】《...することに》乗り出す,取り掛かる《to do》",/stɑrt aʊt/,240079,I [[started out|start out]] as a cashier and [[worked my way up|work one's way up]] to manager.,私はレジ係から始めて、マネージャーに昇進しました。,1627912
,,,,lay down,"【句動】（使い終わったもの）を置く / （休むために）横になる / ...と規定する, ...ということを正式に決める",,"【句動】（使い終わったもの）を置く / （休むために）横になる / ...と規定する, ...ということを正式に決める",/leɪ daʊn/,240088,I lay down the book on the table.,私は本をテーブルに置きます。,3007586
,,,,stand out,"【句動】抜きん出る,傑出している,引き立つ / 目立つ,よくわかる ",,"【句動】抜きん出る,傑出している,引き立つ / 目立つ,よくわかる ",/stænd aʊt/,240090,Her talent for singing really makes her [[stand out]].,彼女の歌唱力は本当に抜きん出ている。,3007591
,,,,write down,"【句動】を書き留める,を記録する",,"【句動】を書き留める,を記録する",/raɪt daʊn/,240098,I always write down my thoughts in a journal.,私はいつも自分の考えを日記に書き留めます。,3007614
,,,,set down,【句動】（地面･テーブルの上などに）を置く、書き留める,,【句動】（地面･テーブルの上などに）を置く、書き留める,/sɛt daʊn/,240112,Please set down the book on the table.,本をテーブルの上に置いてください。,3007623
,,,,settle down,"【句動】身を落ち着ける, 結婚して身を固める / 落ち着く / 座る,腰を落ち着ける",,"【句動】身を落ち着ける, 結婚して身を固める / 落ち着く / 座る,腰を落ち着ける",/ˈsɛtəl daʊn/,240114,It's time for you to settle down and start a family.,あなたが落ち着いて家族を持つ時が来たんだ。,3007626
,,,,put in,"【句動】の中に入れる,含める,挿入する,入れる / （時間・努力）をつぎ込む,を投資する,を費やす",,"【句動】の中に入れる,含める,挿入する,入れる / （時間・努力）をつぎ込む,を投資する,を費やす",/pʊt ɪn/,240122,Let's put in a lot of time on that project.,このプロジェクトにはたっぷり時間をかけましょう。,134944
,,,,come about,《...によって》（予期せぬことが）起こる《through ...》,,《...によって》（予期せぬことが）起こる《through ...》,/kʌm əˈbaʊt/,240027,Unexpected changes in plans can come about through unforeseen circumstances.,予期せぬ事態によって、計画の予定変更が起こることがあります。,3007526
,,,,grow up,【句動】成長する,,【句動】成長する,/ɡroʊ ʌp/,240029,I want to see my children grow up and become successful.,私は子供たちが成長して成功するのを見たいです。,3007523
,,,,cut off,"【句動】を切り落とす,切り離す / をさえぎる / の提供を終える,の供給を断つ",,"【句動】を切り落とす,切り離す / をさえぎる / の提供を終える,の供給を断つ",/kʌt ɒf/,240056,He cut off a piece of the rope.,彼はロープの一部を切り落とした。,3007558
,,,,call out,"【句動】を大声で呼ぶ,を呼びかける",,"【句動】を大声で呼ぶ,を呼びかける",/kɔːl aʊt/,240080,I heard someone call out my name from across the street.,道路の向こうから誰かが私の名前を大声で呼んでいるのが聞こえました。,3007581
,,,,come along,"【句動】やって来る,現れる / 《...と》一緒に来る《with ...》 / 進捗する, 上達する, うまくいく",,"【句動】やって来る,現れる / 《...と》一緒に来る《with ...》 / 進捗する, 上達する, うまくいく",/kʌm əˈlɔŋ/,240091,I hope you can come along to the party tomorrow.,明日のパーティーに一緒に来てくれるといいな。,3007592
,,,,break out,"【句動】（戦争･火事･乱闘などが〉急に起こる,勃発する",,"【句動】（戦争･火事･乱闘などが〉急に起こる,勃発する",/ˈbreɪk aʊt/,240093,A fight broke out at the party last night.,昨夜のパーティーで乱闘が勃発しました。,3007594
,,,,wind up,"【句動】（意に反して）結局...することになる《doing》, 最後には…に至る",,"【句動】（意に反して）結局...することになる《doing》, 最後には…に至る",/waɪnd ʌp/,240062,"Despite my initial reluctance, I wound up enjoying the party.",最初は渋っていたにも関わらず、結局はパーティーを楽しむことになった。,6510332
,,,,take back,"【句動】を連れて帰る,を連れ戻す / を取り戻す,を奪還する / （言葉などを）取り消す",,"【句動】を連れて帰る,を連れ戻す / を取り戻す,を奪還する / （言葉などを）取り消す",/teɪk bæk/,240064,I need to take back the book I borrowed from you.,あなたから借りた本を返さなければならない。,3007566
,,,,come down,"【句動】降りる / 《主語it,all》大切なのは結局...である《to ...》/ （金額・価値が）下がる",,"【句動】降りる / 《主語it,all》大切なのは結局...である《to ...》/ （金額・価値が）下がる",/kʌm daʊn/,240038,It all [[comes down]] to how much effort you put in.,すべてはあなたがどれだけ努力するかにかかっています。,3010213
,,,,pull up,"【句動】停車する / を引き上げる,を引っ張り上げる",,"【句動】停車する / を引き上げる,を引っ張り上げる",/pʊl ʌp/,240057,I need to pull up to the gas station to fill up the tank.,ガソリンスタンドに停車してタンクを満タンにする必要があります。,1651493
,,,,carry out,"を実行する,を完了する / を実行に移す,を実施する",,"を実行する,を完了する / を実行に移す,を実施する",/'kæri aʊt/,239564,They carry out experiments in the laboratory.,彼らは研究室で実験を行います。,3007080
,,,,go through,"（困難・悪いこと）を経験する / （正式に）承諾される,（公式に議会を）通過する",,"（困難・悪いこと）を経験する / （正式に）承諾される,（公式に議会を）通過する",/ɡəʊ θruː/,239600,[[The likes of]] you and I will never understand what she's [[going through|go through]].,あなたや私のような者には、彼女が経験したことは決して理解できないでしょう。,1017596
,,,,get on,"（中断していたこと）を続ける《with》；すぐに行動を開始する,ぐずぐずせずにやる 《with it》 / （乗り物）に乗る / うまくやっていく, 仲良くやっていく, 気が合う / 《~ better terms with ...》...とより良い関係になる",,"（中断していたこと）を続ける《with》；すぐに行動を開始する,ぐずぐずせずにやる 《with it》 / （乗り物）に乗る / うまくやっていく, 仲良くやっていく, 気が合う / 《~ better terms with ...》...とより良い関係になる",/ɡɛt ɒn/,239664,I need to get on with my work.,仕事を続ける必要があります。,3007173
,,,,bring about,"...をもたらす, ...を引き起こす",,"...をもたらす, ...を引き起こす",/brɪŋ əˈbaʊt/,239777,The new technology will bring about significant changes in our daily lives.,新しい技術は私たちの日常生活に大きな変化をもたらすでしょう。,3007285
,,,,hold out,"【句動】差し伸べる,差し出す / 手もとにとどめて置く, 《...に》期待している《much hope of / for》、持ち堪える",,"【句動】差し伸べる,差し出す / 手もとにとどめて置く, 《...に》期待している《much hope of / for》、持ち堪える",/həʊld aʊt/,240069,"Water supplies won't hold out if we don't get some rain soon.

The rebel were able to hold out for weeks in the jungle.

She held out her hand to help him up.","すぐに雨が降らないと、水の供給が持たない。

反乱軍はジャングルの中で何週間も持ちこたえることができた。

彼女は彼を助け起こすために手を差し出した。",3007572
,,,,come off,"【句動】《...から》はずれる,とれる,剥がれる,脱げる《of ...》,（ボタンなどが）...からとれる / ...という印象を与える / の状態で終わる/実現する",,"【句動】《...から》はずれる,とれる,剥がれる,脱げる《of ...》,（ボタンなどが）...からとれる / ...という印象を与える / の状態で終わる/実現する",/kʌm ɒf/,240109,The sticker on my laptop started to come off.,私のラップトップのステッカーがはがれ始めました。,3007621
,,,,go along,"【句動】進行する,進めていく / 《...に》同意する ,賛成する《...と》一緒に行く,共に進む《with  ...》/ （非公式に・計画しないで）行く",,"【句動】進行する,進めていく / 《...に》同意する ,賛成する《...と》一緒に行く,共に進む《with  ...》/ （非公式に・計画しないで）行く",/ɡoʊ əˈlɔŋ/,240118,I usually go along with whatever my friends want to do.,私は普通、友達がやりたいことに合わせます。,3008859
,,,,take out,"【句動】を取り出す / を招待する,を連れて行く",,"【句動】を取り出す / を招待する,を連れて行く",/teɪk aʊt/,240034,I need to take out the trash.,ゴミを取り出さなければなりません。,3007529
,,,,make up,"を形成する,を作り上げる, を占める / (デタラメを) でっちあげる / 《..を》決心する《 one's mind about ... / to do / that ...》 / 《...の》埋め合わせをする《for ...》 / 《...と》仲直りをする《with ...》",,"を形成する,を作り上げる, を占める / (デタラメを) でっちあげる / 《..を》決心する《 one's mind about ... / to do / that ...》 / 《...の》埋め合わせをする《for ...》 / 《...と》仲直りをする《with ...》",/mek ʌp/,239681,"They had a big argument yesterday, but they made up this morning.",彼らは昨日大喧嘩したけれど、今朝仲直りした。,6535974
,,,,take in,"【句動】（客）を迎え入れる,を泊める,（子ども）を引き取る,（人）に部屋を貸す / 頭の中に取り込む,理解する,把握する / をだます,を欺く",,"【句動】（客）を迎え入れる,を泊める,（子ども）を引き取る,（人）に部屋を貸す / 頭の中に取り込む,理解する,把握する / をだます,を欺く",/teɪk ɪn/,240111,I will take in a guest tonight.,今夜、私は客を迎え入れます。,3007625
,,,,break down,"【句動】故障する,失敗する,を破壊する / 《...に》を分解する《into ...》/ 取り乱す,精神的に参る / （化学分解を受けて）を分離する",,"【句動】故障する,失敗する,を破壊する / 《...に》を分解する《into ...》/ 取り乱す,精神的に参る / （化学分解を受けて）を分離する",/bɹeɪk daʊn/,240053,My car broke down on the way to work.,私の車が通勤途中で故障しました。,3007560
,,,,clean up,"【句動】を掃除する,をきれいにする,を片付ける / を一掃する,を根絶する",,"【句動】を掃除する,をきれいにする,を片付ける / を一掃する,を根絶する",/ˈkliːn ʌp/,240058,I need to clean up my room before guests arrive.,ゲストが到着する前に部屋を掃除しなければなりません。,3007562
,,,,give out,"【句動】《...に》を配る,を配布する《to ...》/ を公表する, を報道する / 尽きる,故障で止まる,終わる",,"【句動】《...に》を配る,を配布する《to ...》/ を公表する, を報道する / 尽きる,故障で止まる,終わる",/ɡɪv aʊt/,240116,The teacher will give out the test papers tomorrow.,明日、先生は試験用紙を配ります。,3007627
,,,,stand up,"【句動】立ち上がる / 表明する,堂々と言う,《~ to ...》《...に》恐れず立ち向かう",,"【句動】立ち上がる / 表明する,堂々と言う,《~ to ...》《...に》恐れず立ち向かう",/stænd ʌp/,240037,I watched as the crowd cheered and the performer stood up on stage.,私は群衆が歓声を上げ、パフォーマーがステージで立ち上がるのを見ました。,3007533
,,,,reach out,"【句動】手を伸ばす, 《...を》得ようとする《for ...》/ 《...に》援助を申し出る, 意思疎通を図ろうとする《to ...",,"【句動】手を伸ばす, 《...を》得ようとする《for ...》/ 《...に》援助を申し出る, 意思疎通を図ろうとする《to ...",/riːtʃ aʊt/,240055,I reached out to my old friend to catch up.,近況を報告し合うために古い友人に連絡を取った。,3007561
,,,,get down,"【句動】《...に》本腰を入れて取り組む《to ...》/ 身体を低くする,伏せる；ひざまずく《on one's knee》/  《...へ / ...から》降りる,を降ろす《to ... / from ...》",,"【句動】《...に》本腰を入れて取り組む《to ...》/ 身体を低くする,伏せる；ひざまずく《on one's knee》/  《...へ / ...から》降りる,を降ろす《to ... / from ...》",/ɡɛt daʊn/,240076,I need to get down to work and finish this project.,このプロジェクトを終わらせるために本腰を入れて取り組まなければならない。,3007580
,,,,get through,"【句動】《...に》うまく届く,をうまく送り届ける《to ...》 / 《...に》（困難だが）なんとか理解される《to ...》,《Bに》Aをなんとか理解させる《A through to B》/ 《...に》連絡がつく《to ...》/ （困難など）を乗り越える",,"【句動】《...に》うまく届く,をうまく送り届ける《to ...》 / 《...に》（困難だが）なんとか理解される《to ...》,《Bに》Aをなんとか理解させる《A through to B》/ 《...に》連絡がつく《to ...》/ （困難など）を乗り越える",/ɡɛt θruː/,240096,I have to get through with the work by tomorrow.,私は明日までにその仕事を終えなければならない。,66862
,,,,move on,"《新しいことを》始める,話し合う《to ...》 / 《 ...に》移動する, 《...に》引っ越す《to ...》 / 先に進む / 〈話題など〉変える, 先に進む /  （辛い経験を乗り越えて）精神的に前に進む",,"《新しいことを》始める,話し合う《to ...》 / 《 ...に》移動する, 《...に》引っ越す《to ...》 / 先に進む / 〈話題など〉変える, 先に進む /  （辛い経験を乗り越えて）精神的に前に進む",/muːv ɒn/,239756,It's time to move on and start something new.,新しいことを始める時が来た。,3007263
,,,,go over,"【句動】飛び越す,行く / を越える / を詳しく調べる,をよく見る",,"【句動】飛び越す,行く / を越える / を詳しく調べる,をよく見る",/ɡoʊ ˈoʊ.vər/,240065,The police are going over the crime scene for any clues.,警察は犯罪現場を詳しく調査して、手がかりを探しています。,3007569
